name,seedId,status,reasons,reasonsCount,type,category,target,secondaryEffects
Acid Downpour,move-acid-downpour,manual,external-rule-reference|mixed-category|suggested-effects,3,poison,support,foe,0
All-Out Pummeling,move-all-out-pummeling,manual,external-rule-reference|mixed-category|suggested-effects,3,fighting,support,foe,0
Ambush,move-ambush,manual,dynamic-type|maneuver-rule,2,none,support,foe,0
Bide,move-bide,manual,stored-damage-formula,1,normal,physical,foe,0
Black Hole Eclipse,move-black-hole-eclipse,manual,external-rule-reference|mixed-category|suggested-effects,3,dark,support,foe,0
Bloom Doom,move-bloom-doom,manual,external-rule-reference|mixed-category|suggested-effects,3,grass,support,foe,0
Breakneck Blitz,move-breakneck-blitz,manual,external-rule-reference|mixed-category|suggested-effects,3,normal,support,foe,0
Clash,move-clash,manual,dynamic-type|external-rule-reference|maneuver-rule,3,none,support,self,0
Continental Crush,move-continental-crush,manual,external-rule-reference|mixed-category|suggested-effects,3,rock,support,foe,0
Copycat,move-copycat,manual,copied-move-dependent,1,normal,support,foe,0
Corkscrew Crash,move-corkscrew-crash,manual,external-rule-reference|mixed-category|suggested-effects,3,steel,support,foe,0
Cover An Ally,move-cover-an-ally,manual,dynamic-type|maneuver-rule,2,none,support,ally,0
Devastating Drake,move-devastating-drake,manual,external-rule-reference|mixed-category|suggested-effects,3,dragon,support,foe,0
Doom Desire,move-doom-desire,manual,delayed-effect,1,steel,special,foe,0
Evasion,move-evasion,manual,dynamic-type|external-rule-reference|maneuver-rule,3,none,support,self,0
Fickle Beam,move-fickle-beam,manual,dynamic-power-formula,1,dragon,special,foe,0
Fling,move-fling,manual,external-rule-reference,1,dark,physical,foe,0
Future Sight,move-future-sight,manual,delayed-effect,1,psychic,special,foe,0
Gigavolt Havoc,move-gigavolt-havoc,manual,external-rule-reference|mixed-category|suggested-effects,3,electric,support,foe,0
Grapple,move-grapple,manual,dynamic-type|maneuver-rule,2,none,support,foe,0
Grassy Terrain,move-grassy-terrain,manual,manual-terrain-resolution|terrain-field-effect,2,grass,support,ally-battlefield,1
Help Another,move-help-another,manual,dynamic-type|maneuver-rule,2,none,support,ally,0
Hidden Power,move-hidden-power,manual,dynamic-type|external-rule-reference,2,none,special,foe,0
Hydro Vortex,move-hydro-vortex,manual,external-rule-reference|mixed-category|suggested-effects,3,water,support,foe,0
Inferno Overdrive,move-inferno-overdrive,manual,external-rule-reference|mixed-category|suggested-effects,3,fire,support,foe,0
Instruct,move-instruct,manual,copied-move-dependent,1,psychic,support,foe,0
Ivy Cudgel,move-ivy-cudgel,manual,copied-move-dependent,1,grass,physical,foe,0
Magnitude,move-magnitude,manual,dynamic-power-formula,1,ground,physical,area,0
Me First,move-me-first,manual,copied-move-dependent,1,normal,support,foe,0
Mimic,move-mimic,manual,copied-move-dependent,1,normal,support,foe,0
Mirror Move,move-mirror-move,manual,copied-move-dependent,1,flying,support,foe,0
Never-Ending Nightmare,move-never-ending-nightmare,manual,external-rule-reference|mixed-category|suggested-effects,3,ghost,support,foe,0
Raging Bull,move-raging-bull,manual,copied-move-dependent,1,normal,physical,foe,0
Run Away,move-run-away,manual,dynamic-type|maneuver-rule,2,none,support,self,0
Savage Spin-Out,move-savage-spin-out,manual,external-rule-reference|mixed-category|suggested-effects,3,bug,support,foe,0
Shattered Psyche,move-shattered-psyche,manual,external-rule-reference|mixed-category|suggested-effects|terrain-field-effect,4,psychic,support,foe,1
Shed Tail,move-shed-tail,manual,external-rule-reference|switcher-move,2,normal,support,self,0
Sketch,move-sketch,manual,copied-move-dependent,1,normal,support,foe,0
Snatch,move-snatch,manual,external-rule-reference,1,dark,support,foe,0
Stabilize An Ally,move-stabilize-an-ally,manual,dynamic-type|maneuver-rule,2,none,support,ally,0
Struggle (Physical),move-struggle-physical,manual,dynamic-type|maneuver-rule,2,none,physical,foe,0
Struggle (Special),move-struggle-special,manual,dynamic-type|maneuver-rule,2,none,special,foe,0
Struggle Throw,move-struggle-throw,manual,dynamic-type|maneuver-rule,2,none,physical,foe,0
Substitute,move-substitute,manual,external-rule-reference|switcher-move,2,normal,support,self,0
Subzero Slammer,move-subzero-slammer,manual,external-rule-reference|mixed-category|suggested-effects,3,ice,support,foe,0
Supersonic Skystrike,move-supersonic-skystrike,manual,external-rule-reference|mixed-category|suggested-effects,3,flying,support,foe,0
Tectonic Rage,move-tectonic-rage,manual,external-rule-reference|mixed-category|suggested-effects,3,ground,support,foe,0
Twinkle Tackle,move-twinkle-tackle,manual,external-rule-reference|mixed-category|suggested-effects,3,fairy,support,foe,0
Wish,move-wish,manual,delayed-effect,1,normal,support,ally,1
Yawn,move-yawn,manual,delayed-effect,1,normal,support,foe,0
