name,seedId,status,reasons,reasonsCount,type,category,target,secondaryEffects
Ally Switch,move-ally-switch,partial,switcher-move,1,psychic,support,self,0
Baton Pass,move-baton-pass,partial,switcher-move,1,normal,support,self,0
Beak Blast,move-beak-blast,partial,charge-move,1,flying,physical,foe,0
Behemoth Bash,move-behemoth-bash,partial,dynamax-rule,1,steel,physical,foe,0
Behemoth Blade,move-behemoth-blade,partial,dynamax-rule,1,steel,physical,foe,0
Blast Burn,move-blast-burn,partial,must-recharge,1,fire,special,foe,0
Bounce,move-bounce,partial,charge-move,1,flying,physical,foe,1
Brave Bird,move-brave-bird,partial,recoil,1,flying,physical,foe,0
Brick Break,move-brick-break,partial,destroy-shield,1,fighting,physical,foe,0
Chilly Reception,move-chilly-reception,partial,switcher-move,1,ice,support,battlefield,1
Chip Away,move-chip-away,partial,ignore-defenses,1,normal,physical,foe,0
Chloroblast,move-chloroblast,partial,recoil,1,grass,special,foe,0
Circle Throw,move-circle-throw,partial,switcher-move,1,fighting,physical,foe,0
Comeuppance,move-comeuppance,partial,ignore-defenses,1,dark,physical,foe,0
Counter,move-counter,partial,ignore-defenses,1,fighting,physical,foe,0
Court Change,move-court-change,partial,terrain-field-effect,1,normal,support,battlefield,1
Defog,move-defog,partial,destroy-shield|terrain-field-effect,2,flying,support,battlefield,1
Destiny Bond,move-destiny-bond,partial,user-faints,1,ghost,support,self,0
Dig,move-dig,partial,charge-move,1,ground,physical,foe,0
Disarming Voice,move-disarming-voice,partial,alternative-trait-formula,1,fairy,special,all-foes,0
Dive,move-dive,partial,charge-move,1,water,physical,foe,0
Double-Edge,move-double-edge,partial,recoil,1,normal,physical,foe,0
Dragon Tail,move-dragon-tail,partial,switcher-move,1,dragon,physical,foe,0
Dynamax Cannon,move-dynamax-cannon,partial,dynamax-rule,1,dragon,special,foe,0
Electric Terrain,move-electric-terrain,partial,terrain-field-effect,1,electric,support,battlefield,1
Electro Shot,move-electro-shot,partial,charge-move,1,electric,special,foe,0
Endeavor,move-endeavor,partial,ignore-defenses,1,normal,physical,foe,0
Eternabeam,move-eternabeam,partial,must-recharge,1,dragon,special,foe,0
Expanding Force,move-expanding-force,partial,terrain-field-effect,1,psychic,special,foe,1
Explosion,move-explosion,partial,user-faints,1,normal,physical,area,0
Final Gambit,move-final-gambit,partial,ignore-defenses|user-faints,2,fighting,special,foe,0
Flare Blitz,move-flare-blitz,partial,recoil,1,fire,physical,foe,1
Flip Turn,move-flip-turn,partial,switcher-move,1,water,physical,foe,0
Floral Healing,move-floral-healing,partial,terrain-field-effect,1,fairy,support,ally,3
Flower Trick,move-flower-trick,partial,always-crit,1,grass,physical,foe,0
Fly,move-fly,partial,charge-move,1,flying,physical,foe,0
Focus Punch,move-focus-punch,partial,charge-move,1,fighting,physical,foe,0
Freeze Shock,move-freeze-shock,partial,charge-move,1,ice,physical,foe,1
Frenzy Plant,move-frenzy-plant,partial,must-recharge,1,grass,special,foe,0
Frost Breath,move-frost-breath,partial,always-crit,1,ice,special,foe,0
Geomancy,move-geomancy,partial,charge-move,1,fairy,support,self,0
Giga Impact,move-giga-impact,partial,must-recharge,1,normal,physical,foe,0
Grassy Glide,move-grassy-glide,partial,terrain-field-effect,1,grass,physical,foe,1
Grudge,move-grudge,partial,user-faints,1,ghost,support,foe,0
Head Charge,move-head-charge,partial,recoil,1,normal,physical,foe,0
Head Smash,move-head-smash,partial,recoil,1,rock,physical,foe,0
Healing Wish,move-healing-wish,partial,user-faints,1,psychic,support,self,1
Hydro Cannon,move-hydro-cannon,partial,must-recharge,1,water,special,foe,0
Hyper Beam,move-hyper-beam,partial,must-recharge,1,normal,special,foe,0
Hyperspace Hole,move-hyperspace-hole,partial,ignore-defenses,1,psychic,special,foe,0
Ice Burn,move-ice-burn,partial,charge-move,1,ice,special,foe,1
Judgment,move-judgment,partial,ignore-defenses,1,normal,special,foe,0
Jungle Healing,move-jungle-healing,partial,status-cleanse,1,grass,support,all-allies,1
Light Of Ruin,move-light-of-ruin,partial,recoil,1,fairy,special,foe,0
Lunar Dance,move-lunar-dance,partial,user-faints,1,psychic,support,self,0
Max Guard,move-max-guard,partial,dynamax-rule,1,normal,physical,self,0
Max Lightning,move-max-lightning,partial,terrain-field-effect,1,electric,physical,all-foes,1
Max Mindstorm,move-max-mindstorm,partial,terrain-field-effect,1,psychic,physical,all-foes,1
Max Overgrowth,move-max-overgrowth,partial,terrain-field-effect,1,grass,physical,all-foes,1
Max Starfall,move-max-starfall,partial,terrain-field-effect,1,fairy,physical,all-foes,1
Memento,move-memento,partial,user-faints,1,dark,support,foe,5
Metal Burst,move-metal-burst,partial,ignore-defenses,1,steel,physical,foe,0
Meteor Assault,move-meteor-assault,partial,must-recharge,1,fighting,physical,foe,0
Meteor Beam,move-meteor-beam,partial,charge-move,1,rock,special,foe,1
Mind Blown,move-mind-blown,partial,recoil,1,fire,special,area,0
Mirror Coat,move-mirror-coat,partial,ignore-defenses,1,psychic,support,foe,0
Misty Explosion,move-misty-explosion,partial,terrain-field-effect|user-faints,2,fairy,special,area,1
Misty Terrain,move-misty-terrain,partial,status-cleanse|terrain-field-effect,2,fairy,support,battlefield,1
Mortal Spin,move-mortal-spin,partial,terrain-field-effect,1,poison,physical,all-foes,2
Nature's Madness,move-nature-s-madness,partial,ignore-defenses,1,fairy,special,foe,0
Night Shade,move-night-shade,partial,ignore-defenses,1,ghost,special,foe,0
Outrage,move-outrage,partial,rampage,1,dragon,physical,random-foe,0
Parting Shot,move-parting-shot,partial,switcher-move,1,dark,support,foe,2
Petal Dance,move-petal-dance,partial,rampage,1,grass,special,random-foe,0
Phantom Force,move-phantom-force,partial,charge-move,1,ghost,physical,foe,0
Prismatic Laser,move-prismatic-laser,partial,must-recharge,1,psychic,special,foe,0
Psyblade,move-psyblade,partial,terrain-field-effect,1,psychic,physical,foe,1
Psychic Fangs,move-psychic-fangs,partial,destroy-shield,1,psychic,physical,foe,0
Psychic Terrain,move-psychic-terrain,partial,terrain-field-effect,1,psychic,support,battlefield,1
Psyshock,move-psyshock,partial,special-defense-rule,1,psychic,special,foe,0
Psystrike,move-psystrike,partial,special-defense-rule,1,psychic,special,foe,0
Psywave,move-psywave,partial,ignore-defenses,1,psychic,special,foe,0
Raging Fury,move-raging-fury,partial,rampage,1,fire,physical,random-foe,0
Rapid Spin,move-rapid-spin,partial,terrain-field-effect,1,normal,physical,foe,2
Razor Wind,move-razor-wind,partial,charge-move,1,normal,special,all-foes,0
Rising Voltage,move-rising-voltage,partial,terrain-field-effect,1,electric,special,foe,1
Roar,move-roar,partial,switcher-move,1,normal,support,foe,0
Roar Of Time,move-roar-of-time,partial,must-recharge,1,dragon,special,foe,0
Rock Wrecker,move-rock-wrecker,partial,must-recharge,1,rock,physical,foe,0
Roost,move-roost,partial,temporary-type-immunity-change,1,flying,support,self,1
Ruination,move-ruination,partial,ignore-defenses,1,dark,special,foe,0
Sacred Sword,move-sacred-sword,partial,ignore-defenses,1,fighting,physical,foe,0
Sappy Seed,move-sappy-seed,partial,ignore-defenses,1,grass,physical,foe,0
Secret Sword,move-secret-sword,partial,special-defense-rule,1,fighting,special,foe,0
Seismic Toss,move-seismic-toss,partial,ignore-defenses,1,fighting,physical,foe,0
Self Destruct,move-self-destruct,partial,user-faints,1,normal,physical,area,0
Shadow Force,move-shadow-force,partial,charge-move,1,ghost,physical,foe,0
Skull Bash,move-skull-bash,partial,charge-move,1,normal,physical,foe,1
Sky Attack,move-sky-attack,partial,charge-move,1,flying,physical,foe,1
Sky Drop,move-sky-drop,partial,charge-move,1,flying,physical,foe,0
Solar Beam,move-solar-beam,partial,charge-move,1,grass,special,foe,0
Solar Blade,move-solar-blade,partial,charge-move,1,grass,physical,foe,0
Sonic Boom,move-sonic-boom,partial,ignore-defenses,1,normal,special,foe,0
Sparkly Swirl,move-sparkly-swirl,partial,status-cleanse,1,fairy,special,all-allies,0
Spiky Shield,move-spiky-shield,partial,ignore-defenses,1,grass,support,self,0
Steel Beam,move-steel-beam,partial,recoil,1,steel,special,foe,0
Steel Roller,move-steel-roller,partial,terrain-field-effect,1,steel,physical,foe,1
Storm Throw,move-storm-throw,partial,always-crit,1,fighting,physical,foe,0
Submission,move-submission,partial,recoil,1,fighting,physical,foe,0
Super Fang,move-super-fang,partial,ignore-defenses,1,normal,physical,foe,0
Surging Strikes,move-surging-strikes,partial,always-crit,1,water,physical,foe,0
Take Down,move-take-down,partial,recoil,1,normal,physical,foe,0
Take Heart,move-take-heart,partial,status-cleanse,1,psychic,support,self,2
Teleport,move-teleport,partial,switcher-move,1,psychic,support,self,0
Terrain Pulse,move-terrain-pulse,partial,terrain-field-effect,1,normal,special,foe,1
Thrash,move-thrash,partial,rampage,1,normal,physical,random-foe,0
U-Turn,move-u-turn,partial,switcher-move,1,bug,physical,foe,0
Volt Switch,move-volt-switch,partial,switcher-move,1,electric,special,foe,0
Volt Tackle,move-volt-tackle,partial,recoil,1,electric,physical,foe,1
Wave Crash,move-wave-crash,partial,recoil,1,water,physical,foe,1
Whirlwind,move-whirlwind,partial,switcher-move,1,normal,support,foe,0
Wicked Blow,move-wicked-blow,partial,always-crit,1,dark,physical,foe,0
Wild Charge,move-wild-charge,partial,recoil,1,electric,physical,foe,1
Wood Hammer,move-wood-hammer,partial,recoil,1,grass,physical,foe,0
Zippy Zap,move-zippy-zap,partial,always-crit,1,electric,physical,foe,0
