status,name,seed_id,ref_page,found_pages,found_on_ref_page,line_hits_on_ref_page,ability_type,effect_overlap_ratio
PASS,Stench,ability-stench,464,464,True,1,passive,0.700
PASS,Drizzle,ability-drizzle,440,440,True,1,passive,0.000
PASS,Speed Boost,ability-speed-boost,463,463,True,1,passive,0.100
PASS,Battle Armor,ability-battle-armor,436,436,True,1,passive,0.333
PASS,Sturdy,ability-sturdy,461,"461,465,467",True,1,passive,0.267
PASS,Damp,ability-damp,439,439,True,1,passive,0.429
PASS,Limber,ability-limber,449,449,True,1,passive,0.333
PASS,Sand Veil,ability-sand-veil,459,459,True,1,passive,0.375
PASS,Static,ability-static,464,464,True,1,passive,0.125
PASS,Volt Absorb,ability-volt-absorb,469,469,True,1,passive,0.500
PASS,Water Absorb,ability-water-absorb,469,469,True,1,passive,0.375
PASS,Oblivious,ability-oblivious,453,"453,468",True,1,passive,0.125
PASS,Cloud Nine,ability-cloud-nine,437,437,True,1,passive,0.273
PASS,Compound Eyes,ability-compound-eyes,438,438,True,1,passive,0.250
PASS,Insomnia,ability-insomnia,447,447,True,1,passive,0.333
PASS,Color Change,ability-color-change,437,437,True,1,passive,0.857
PASS,Immunity,ability-immunity,435,"435,438,447,451,455,467,468",True,1,passive,0.000
PASS,Flash Fire,ability-flash-fire,442,442,True,1,passive,0.333
PASS,Shield Dust,ability-shield-dust,461,461,True,1,passive,0.167
PASS,Own Tempo,ability-own-tempo,454,454,True,1,passive,0.000
PASS,Suction Cups,ability-suction-cups,465,465,True,1,passive,0.125
PASS,Intimidate,ability-intimidate,447,447,True,2,passive,0.182
PASS,Shadow Tag,ability-shadow-tag,460,460,True,1,passive,0.000
PASS,Rough Skin,ability-rough-skin,459,459,True,1,passive,0.125
PASS,Wonder Guard,ability-wonder-guard,468,"468,469,470",True,1,passive,0.200
PASS,Levitate,ability-levitate,449,"449,467,468",True,1,passive,0.750
PASS,Effect Spore,ability-effect-spore,441,441,True,1,passive,0.273
PASS,Synchronize,ability-synchronize,466,466,True,1,passive,0.286
PASS,Clear Body,ability-clear-body,437,437,True,1,passive,0.100
PASS,Natural Cure,ability-natural-cure,452,452,True,1,passive,0.333
PASS,Lightning Rod,ability-lightning-rod,449,449,True,1,passive,0.263
PASS,Serene Grace,ability-serene-grace,460,460,True,1,passive,0.571
PASS,Swift Swim,ability-swift-swim,466,466,True,1,passive,0.000
PASS,Chlorophyll,ability-chlorophyll,437,437,True,1,passive,0.000
PASS,Illuminate,ability-illuminate,446,446,True,1,passive,0.400
PASS,Trace,ability-trace,468,468,True,1,passive,0.167
PASS,Huge Power,ability-huge-power,445,445,True,1,passive,0.000
PASS,Poison Point,ability-poison-point,455,455,True,1,passive,0.375
PASS,Inner Focus,ability-inner-focus,447,447,True,1,passive,0.000
PASS,Magma Armor,ability-magma-armor,450,450,True,1,passive,0.000
PASS,Water Veil,ability-water-veil,470,470,True,1,passive,0.250
PASS,Magnet Pull,ability-magnet-pull,450,450,True,1,passive,0.250
PASS,Soundproof,ability-soundproof,463,463,True,1,passive,0.600
PASS,Rain Dish,ability-rain-dish,457,457,True,1,passive,0.222
PASS,Sand Stream,ability-sand-stream,459,459,True,1,passive,0.222
PASS,Pressure,ability-pressure,454,"454,456,467",True,1,passive,0.250
PASS,Thick Fat,ability-thick-fat,467,467,True,1,passive,0.875
PASS,Early Bird,ability-early-bird,441,441,True,1,passive,0.167
PASS,Flame Body,ability-flame-body,441,441,True,1,passive,0.250
PASS,Run Away,ability-run-away,459,"459,462",True,1,passive,0.167
PASS,Keen Eye,ability-keen-eye,448,448,True,1,passive,0.125
PASS,Hyper Cutter,ability-hyper-cutter,446,446,True,1,passive,0.300
PASS,Truant,ability-truant,468,468,True,1,passive,0.500
PASS,Hustle,ability-hustle,445,445,True,1,passive,0.200
